# time, phase, observation, A, B, F
1.499375000000000013e-01 3.082687791334976168e+00 -9.688302083591165959e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.499999999999999944e-01 3.141592653589796669e+00 -1.000000000000001776e+00 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.500625000000000153e-01 3.200497515844617169e+00 -1.027701012010317161e+00 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.501250000000000084e-01 3.259402378099409248e+00 -1.051837155683844616e+00 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.501875000000000016e-01 3.318307240354229748e+00 -1.072324708057072362e+00 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.502499999999999947e-01 3.377212102609021827e+00 -1.089092602325627768e+00 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.503125000000000155e-01 3.436116964863842327e+00 -1.102082674359441183e+00 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.503750000000000087e-01 3.495021827118662827e+00 -1.111249864461232750e+00 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.504375000000000018e-01 3.553926689373454906e+00 -1.116562373668706476e+00 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.504999999999999949e-01 3.612831551628246984e+00 -1.118001774058141384e+00 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.505625000000000158e-01 3.671736413883095906e+00 -1.115563072666782229e+00 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.506250000000000089e-01 3.730641276137887985e+00 -1.109254728812345103e+00 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.506875000000000020e-01 3.789546138392680064e+00 -1.099098624749494491e+00 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.507499999999999951e-01 3.848451000647500564e+00 -1.085129989765121650e+00 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.508125000000000160e-01 3.907355862902321064e+00 -1.067397277975731473e+00 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.508750000000000091e-01 3.966260725157113143e+00 -1.045962000250784785e+00 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.509375000000000022e-01 4.025165587411933643e+00 -1.020898510845008822e+00 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.509999999999999953e-01 4.084070449666725722e+00 -9.922937494799496383e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.510625000000000162e-01 4.142975311921546222e+00 -9.602469397691397734e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
