# time, phase, observation, F, A1, A2, A3, A4, A5, A6, B1, B2, B3, B4, B5, B6
3.212500000000000078e-02 5.144357970253285117e+00 -2.188902080837553221e+00 1.500000000000000000e+02 1.000000000000000000e+00 2.500000000000000000e-01 0.000000000000000000e+00 6.999999999999999556e-01 -4.000000000000000222e-01 -8.000000000000000444e-01 5.000000000000000000e-01 0.000000000000000000e+00 -2.000000000000000111e-01 -8.000000000000000444e-01 9.000000000000000222e-01 1.000000000000000000e+00
3.218750000000000083e-02 5.203262832508094959e+00 -1.672808362311293262e+00 1.500000000000000000e+02 1.000000000000000000e+00 2.500000000000000000e-01 0.000000000000000000e+00 6.999999999999999556e-01 -4.000000000000000222e-01 -8.000000000000000444e-01 5.000000000000000000e-01 0.000000000000000000e+00 -2.000000000000000111e-01 -8.000000000000000444e-01 9.000000000000000222e-01 1.000000000000000000e+00
3.225000000000000089e-02 5.262167694762904802e+00 -1.015588596476847849e+00 1.500000000000000000e+02 1.000000000000000000e+00 2.500000000000000000e-01 0.000000000000000000e+00 6.999999999999999556e-01 -4.000000000000000222e-01 -8.000000000000000444e-01 5.000000000000000000e-01 0.000000000000000000e+00 -2.000000000000000111e-01 -8.000000000000000444e-01 9.000000000000000222e-01 1.000000000000000000e+00
3.231250000000000094e-02 5.321072557017711091e+00 -2.792024912737999243e-01 1.500000000000000000e+02 1.000000000000000000e+00 2.500000000000000000e-01 0.000000000000000000e+00 6.999999999999999556e-01 -4.000000000000000222e-01 -8.000000000000000444e-01 5.000000000000000000e-01 0.000000000000000000e+00 -2.000000000000000111e-01 -8.000000000000000444e-01 9.000000000000000222e-01 1.000000000000000000e+00
3.237500000000000100e-02 5.379977419272520933e+00 4.664995317947187026e-01 1.500000000000000000e+02 1.000000000000000000e+00 2.500000000000000000e-01 0.000000000000000000e+00 6.999999999999999556e-01 -4.000000000000000222e-01 -8.000000000000000444e-01 5.000000000000000000e-01 0.000000000000000000e+00 -2.000000000000000111e-01 -8.000000000000000444e-01 9.000000000000000222e-01 1.000000000000000000e+00
3.243750000000000105e-02 5.438882281527330775e+00 1.151641804702370209e+00 1.500000000000000000e+02 1.000000000000000000e+00 2.500000000000000000e-01 0.000000000000000000e+00 6.999999999999999556e-01 -4.000000000000000222e-01 -8.000000000000000444e-01 5.000000000000000000e-01 0.000000000000000000e+00 -2.000000000000000111e-01 -8.000000000000000444e-01 9.000000000000000222e-01 1.000000000000000000e+00
3.250000000000000111e-02 5.497787143782137065e+00 1.714213562373085864e+00 1.500000000000000000e+02 1.000000000000000000e+00 2.500000000000000000e-01 0.000000000000000000e+00 6.999999999999999556e-01 -4.000000000000000222e-01 -8.000000000000000444e-01 5.000000000000000000e-01 0.000000000000000000e+00 -2.000000000000000111e-01 -8.000000000000000444e-01 9.000000000000000222e-01 1.000000000000000000e+00
3.256250000000000117e-02 5.556692006036946907e+00 2.107054643250088066e+00 1.500000000000000000e+02 1.000000000000000000e+00 2.500000000000000000e-01 0.000000000000000000e+00 6.999999999999999556e-01 -4.000000000000000222e-01 -8.000000000000000444e-01 5.000000000000000000e-01 0.000000000000000000e+00 -2.000000000000000111e-01 -8.000000000000000444e-01 9.000000000000000222e-01 1.000000000000000000e+00
3.262500000000000122e-02 5.615596868291756749e+00 2.303107571054588298e+00 1.500000000000000000e+02 1.000000000000000000e+00 2.500000000000000000e-01 0.000000000000000000e+00 6.999999999999999556e-01 -4.000000000000000222e-01 -8.000000000000000444e-01 5.000000000000000000e-01 0.000000000000000000e+00 -2.000000000000000111e-01 -8.000000000000000444e-01 9.000000000000000222e-01 1.000000000000000000e+00
3.268750000000000128e-02 5.674501730546563039e+00 2.298307320424726186e+00 1.500000000000000000e+02 1.000000000000000000e+00 2.500000000000000000e-01 0.000000000000000000e+00 6.999999999999999556e-01 -4.000000000000000222e-01 -8.000000000000000444e-01 5.000000000000000000e-01 0.000000000000000000e+00 -2.000000000000000111e-01 -8.000000000000000444e-01 9.000000000000000222e-01 1.000000000000000000e+00
3.275000000000000133e-02 5.733406592801372881e+00 2.111757753965131101e+00 1.500000000000000000e+02 1.000000000000000000e+00 2.500000000000000000e-01 0.000000000000000000e+00 6.999999999999999556e-01 -4.000000000000000222e-01 -8.000000000000000444e-01 5.000000000000000000e-01 0.000000000000000000e+00 -2.000000000000000111e-01 -8.000000000000000444e-01 9.000000000000000222e-01 1.000000000000000000e+00
3.281250000000000139e-02 5.792311455056182723e+00 1.783165750782423675e+00 1.500000000000000000e+02 1.000000000000000000e+00 2.500000000000000000e-01 0.000000000000000000e+00 6.999999999999999556e-01 -4.000000000000000222e-01 -8.000000000000000444e-01 5.000000000000000000e-01 0.000000000000000000e+00 -2.000000000000000111e-01 -8.000000000000000444e-01 9.000000000000000222e-01 1.000000000000000000e+00
3.287500000000000144e-02 5.851216317310989012e+00 1.367831920280473179e+00 1.500000000000000000e+02 1.000000000000000000e+00 2.500000000000000000e-01 0.000000000000000000e+00 6.999999999999999556e-01 -4.000000000000000222e-01 -8.000000000000000444e-01 5.000000000000000000e-01 0.000000000000000000e+00 -2.000000000000000111e-01 -8.000000000000000444e-01 9.000000000000000222e-01 1.000000000000000000e+00
3.293750000000000150e-02 5.910121179565798855e+00 9.297910002945052321e-01 1.500000000000000000e+02 1.000000000000000000e+00 2.500000000000000000e-01 0.000000000000000000e+00 6.999999999999999556e-01 -4.000000000000000222e-01 -8.000000000000000444e-01 5.000000000000000000e-01 0.000000000000000000e+00 -2.000000000000000111e-01 -8.000000000000000444e-01 9.000000000000000222e-01 1.000000000000000000e+00
3.300000000000000155e-02 5.969026041820608697e+00 5.339198548797872146e-01 1.500000000000000000e+02 1.000000000000000000e+00 2.500000000000000000e-01 0.000000000000000000e+00 6.999999999999999556e-01 -4.000000000000000222e-01 -8.000000000000000444e-01 5.000000000000000000e-01 0.000000000000000000e+00 -2.000000000000000111e-01 -8.000000000000000444e-01 9.000000000000000222e-01 1.000000000000000000e+00
3.306250000000000161e-02 6.027930904075414986e+00 2.379588430056975845e-01 1.500000000000000000e+02 1.000000000000000000e+00 2.500000000000000000e-01 0.000000000000000000e+00 6.999999999999999556e-01 -4.000000000000000222e-01 -8.000000000000000444e-01 5.000000000000000000e-01 0.000000000000000000e+00 -2.000000000000000111e-01 -8.000000000000000444e-01 9.000000000000000222e-01 1.000000000000000000e+00
3.312500000000000167e-02 6.086835766330224828e+00 8.540719822323894483e-02 1.500000000000000000e+02 1.000000000000000000e+00 2.500000000000000000e-01 0.000000000000000000e+00 6.999999999999999556e-01 -4.000000000000000222e-01 -8.000000000000000444e-01 5.000000000000000000e-01 0.000000000000000000e+00 -2.000000000000000111e-01 -8.000000000000000444e-01 9.000000000000000222e-01 1.000000000000000000e+00
3.318750000000000172e-02 6.145740628585034671e+00 1.001524692028452623e-01 1.500000000000000000e+02 1.000000000000000000e+00 2.500000000000000000e-01 0.000000000000000000e+00 6.999999999999999556e-01 -4.000000000000000222e-01 -8.000000000000000444e-01 5.000000000000000000e-01 0.000000000000000000e+00 -2.000000000000000111e-01 -8.000000000000000444e-01 9.000000000000000222e-01 1.000000000000000000e+00
3.325000000000000178e-02 6.204645490839840960e+00 2.834894794723965550e-01 1.500000000000000000e+02 1.000000000000000000e+00 2.500000000000000000e-01 0.000000000000000000e+00 6.999999999999999556e-01 -4.000000000000000222e-01 -8.000000000000000444e-01 5.000000000000000000e-01 0.000000000000000000e+00 -2.000000000000000111e-01 -8.000000000000000444e-01 9.000000000000000222e-01 1.000000000000000000e+00
3.331250000000000183e-02 6.263550353094650802e+00 6.138997442503759672e-01 1.500000000000000000e+02 1.000000000000000000e+00 2.500000000000000000e-01 0.000000000000000000e+00 6.999999999999999556e-01 -4.000000000000000222e-01 -8.000000000000000444e-01 5.000000000000000000e-01 0.000000000000000000e+00 -2.000000000000000111e-01 -8.000000000000000444e-01 9.000000000000000222e-01 1.000000000000000000e+00
